Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
26.0,Other,0.5,False,False,False,Rock,False,True,140.0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,9.0,8.0,1.0,0.0,1
20.0,Spotify,4.0,True,False,False,EDM,True,False,161.0,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,7.0,2.0,8.0,6.0,0
23.0,YouTube Music,2.0,True,True,True,Video game music,True,False,80.0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,4.0,2.0,3.0,4.0,0
18.0,Spotify,5.0,True,True,False,Rock,True,False,130.0,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,7.0,6.0,5.0,0.0,0
37.0,YouTube Music,0.25,False,False,False,Video game music,True,False,147.0,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,3.0,2.0,10.0,0.0,1
17.0,Spotify,3.0,True,False,False,Classical,True,True,120.0,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,6.0,6.0,8.0,2.0,0
18.0,Spotify,4.0,True,False,False,Metal,True,True,77.0,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,1.0,0.0,8.0,2.0,1
17.0,No Streaming Service,1.0,True,True,True,Folk,False,False,118.0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,7.0,3.0,1.0,5.0,0
36.0,Spotify,1.0,False,True,True,Classical,False,False,132.0,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,8.0,9.0,3.0,0.0,1
24.0,Spotify,3.0,True,False,False,Rock,True,True,115.0,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,9.0,6.0,4.0,3.0,0
18.0,Spotify,5.0,True,False,True,Metal,True,True,157.0,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,7.0,9.0,5.0,0.0,0
19.0,Spotify,3.0,True,False,False,Pop,False,True,90.0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,7.0,4.0,2.0,4.0,1
17.0,Apple Music,2.0,True,True,False,EDM,True,False,128.0,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0.0,0.0,0.0,0.0,0
